Year,Elko_Avg,Reno_Avg,LV_Avg,,
1975,44.52,48.30,65.63,,
1976,46.13,48.81,66.42,,
1977,49.28,50.90,68.33,,
1978,47.86,49.31,67.79,,
1979,49.59,50.39,66.99,,
1980,49.27,50.98,67.93,,
1981,50.67,51.93,69.16,,
1982,46.03,48.44,65.08,,
1983,48.38,50.57,66.16,,
1984,44.83,50.23,66.42,,
1985,45.42,49.93,66.96,,
1986,47.67,52.70,68.49,,
1987,46.97,52.52,66.89,,
1988,46.19,52.98,67.80,,
1989,44.93,51.38,68.60,,
1990,46.03,51.57,67.39,,
1991,46.04,51.79,67.05,,
1992,45.63,53.68,68.18,,
1993,41.78,51.13,67.44,,
1994,45.40,53.72,69.02,,
1995,46.13,53.04,68.99,,
1996,45.40,51.60,69.36,,
1997,45.78,51.10,68.61,,
1998,45.81,51.39,66.52,,
1999,45.45,53.40,68.49,,
2000,46.11,53.93,69.63,,
2001,47.63,54.92,69.59,,
2002,46.13,54.04,68.88,,
2003,48.88,55.28,69.94,,
2004,46.21,54.76,69.42,,
2005,45.96,53.77,69.99,,
2006,47.92,54.39,69.77,,
2007,47.67,55.07,70.98,,
2008,45.90,54.39,69.98,,
2009,46.52,53.90,69.89,,
2010,46.73,53.84,69.46,,
2011,46.87,53.27,68.76,,
2012,49.61,56.28,71.19,,
2013,46.92,54.19,69.81,,
2014,50.05,57.32,71.97,,
2015,50.19,56.68,71.76,,
2016,48.81,56.28,71.55,,
2017,49.21,56.15,72.30,,
2018,48.89,56.02,72.13,,
2019,47.60,54.71,69.50,,
2020,49.31,55.73,71.52,,
2021,49.89,56.13,71.52,,
2022,47.63,55.66,70.46,,
2023,47.16,54.12,69.23,,
2024,50.13,56.66,72.24,,
2025,50.72,56.72,71.78,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,Annual Average Temprature ,,,
,1975,44.52,48.30,65.63,
,2025,50.72,56.72,71.78,
,,,,,
,,,,,
,,,,,
,,"Annual Average Temperature
(1975)","Annual Average Temperature
(2025)",Rate of Temperature Increase( °F per year),Rate of Temperature Increase( °F per decade)
,Elko,44.52,50.72,0.0476,4.76
,Reno,48.30,56.72,0.1422,14.22
,Las Vegas,65.63,71.78,0.1055,10.55
