Year,HDD,CDD
1975,7702.5,267
1976,7113.5,214.5
1977,6330,609.5
1978,6607.5,379.5
1979,6256.5,666
1980,6111.5,362.5
1981,5903,703
1982,7290,403.5
1983,6469,442
1984,7841.5,488
1985,7581.5,475.5
1986,6660,355
1987,6822,266
1988,7318.5,449
1989,7554.5,274.5
1990,7291,399.5
1991,7221.5,317.5
1992,7305.5,233.5
1993,8468,46
1994,7362,258
1995,6996.5,130
1996,7361,215
1997,7113.5,139.5
1998,7186,279
1999,7158,136
2000,7001,191
2001,6824,579
2002,7276,461
2003,6385,571
2004,7068,369
2005,7278,431.5
2006,6765,562.5
2007,6920.5,623.5
2008,7405,432.5
2009,7149.5,430
2010,7051.5,415.5
2011,7026,445.5
2012,6274,660
2013,7338,755
2014,5968,528.5
2015,5991,597
2016,6463,536.5
2017,6522.5,765.5
2018,6510,659.5
2019,6805.5,481
2020,6415.5,672.5
2021,6293,787
2022,7037,714.5
2023,6962.5,495
2024,6139.5,703
2025,5853,768
